iter	Passed	Remaining
0	1	172
1	3	154
2	4	149
3	5	141
4	7	143
5	9	145
6	10	144
7	12	144
8	14	147
9	16	146
10	18	145
11	19	145
12	21	143
13	23	142
14	24	140
15	26	139
16	28	138
17	29	135
18	31	134
19	33	132
20	34	130
21	36	128
22	37	127
23	39	125
24	41	123
25	43	122
26	44	120
27	45	117
28	47	115
29	48	114
30	50	112
31	52	110
32	53	108
33	55	107
34	56	105
35	58	103
36	59	101
37	60	99
38	62	97
39	63	95
40	65	94
41	66	91
42	68	90
43	70	89
44	71	87
45	73	86
46	75	84
47	76	83
48	78	81
49	80	80
50	81	78
51	83	76
52	84	74
53	86	73
54	87	71
55	89	70
56	90	68
57	92	66
58	93	65
59	95	63
60	96	61
61	98	60
62	100	58
63	101	57
64	103	55
65	105	54
66	106	52
67	108	51
68	110	49
69	112	48
70	115	46
71	116	45
72	118	43
73	119	42
74	121	40
75	123	39
76	125	37
77	126	35
78	128	34
79	129	32
80	131	30
81	132	29
82	134	27
83	136	25
84	138	24
85	139	22
86	141	21
87	143	19
88	144	17
89	146	16
90	147	14
91	149	12
92	150	11
93	152	9
94	153	8
95	155	6
96	156	4
97	158	3
98	159	1
99	161	0
